bucket	t	goodput0	batchsize0	throughput0	goodput_median	batchsize_median	throughput_median
0	0.0	5281.05	1.052865213882163	5534.383333333333	5281.05	1.052865213882163	5534.383333333333
1	1.0	7108.866666666667	1.085923531762064	7466.8	7108.866666666667	1.085923531762064	7466.8
2	2.0	10301.516666666666	1.2442707848792136	10749.05	10301.516666666666	1.2442707848792136	10749.05
3	3.0	16107.716666666667	1.4477195497076965	16558.233333333334	16107.716666666667	1.4477195497076965	16558.233333333334
4	4.0	23232.233333333334	1.7320995480780124	23687.916666666668	23232.233333333334	1.7320995480780124	23687.916666666668
5	5.0	35741.75	6.628363943531716	37202.316666666666	35741.75	6.628363943531716	37202.316666666666
6	6.0	38394.61666666667	6.957644663934974	58862.066666666666	38394.61666666667	6.957644663934974	58862.066666666666
7	7.0	38344.73333333333	7.04714349321931	66667.41666666667	38344.73333333333	7.04714349321931	66667.41666666667
8	8.0	38745.083333333336	7.119858126637005	53189.25	38745.083333333336	7.119858126637005	53189.25
