num_models	goodput0	goodput1	goodput2	goodput_median
0.0	0.0	0.0	0.0	0.0
10.0	10043.533333333333			10043.533333333333
20.0	19696.766666666663			19696.766666666663
30.0	29090.25			29090.25
40.0	38745.083333333336			38745.083333333336
50.0	48048.05			48048.05
60.0	56295.2			56295.2
70.0	61499.45			61499.45
80.0	68171.01666666666			68171.01666666666
90.0	63383.85			63383.85
100.0	60190.15			60190.15
110.0	56218.55			56218.55
120.0	55990.65			55990.65
130.0	58353.51666666667			58353.51666666667
140.0	49846.21666666667			49846.21666666667
150.0	48938.25			48938.25
